URL,Poet Name,Birth Year,Death Year,Extra Info
/wiki/Louis_Aragon,Louis Aragon,1897,1982,"Louis Aragon (1897–1982), French poet, novelist and editor"
/wiki/J%C3%A1nos_Arany,János Arany,1817,1882,"János Arany (1817–1882), Hungarian poet"
/wiki/Archilochus,Archilochus,680 BC,645 BC,"Archilochus (c. 680 – c. 645 BC), ancient Greek lyric poet"
/wiki/Walter_Arensberg,Walter Conrad Arensberg,1878,1954,"Walter Conrad Arensberg (1878–1954), American Dadaist, critic and poet"
/wiki/Tudor_Arghezi,Tudor Arghezi,1880,1967,"Tudor Arghezi (1880–1967), Romanian poet"
/wiki/Ludovico_Ariosto,Ludovico Ariosto,1474,1533,"Ludovico Ariosto (1474–1533), Italian poet"
/wiki/Aristophanes,Aristophanes,446 BC,386 BC,"Aristophanes (c. 446 – c. 386 BC), Greek dramatic poet"
/wiki/Guru_Arjan,Guru Arjan,1563,1606,"Guru Arjan (1563–1606), Sikh Guru and Punjabi poet"
/wiki/Rae_Armantrout,Rae Armantrout,1947,unknown,"Rae Armantrout (born 1947), American Language poet"
/wiki/Simon_Armitage,Simon Armitage,1963,unknown,"Simon Armitage (born 1963), English poet, playwright, and novelist"
/wiki/Richard_Armour,Richard Armour,1906,1989,"Richard Armour (1906–1989), American poet and author"
/wiki/Ernst_Moritz_Arndt,Ernst Moritz Arndt,1769,1860,"Ernst Moritz Arndt (1769–1860), German author and poet"
/wiki/Bettina_von_Arnim,Bettina von Arnim,1785,1859,"Bettina von Arnim (1785–1859), German writer, composer and visual artist"
/wiki/Ludwig_Achim_von_Arnim,Ludwig Achim von Arnim,1781,1831,"Ludwig Achim von Arnim (1781–1831), German poet and novelist"
/wiki/Craig_Arnold,Craig Arnold,1967,2009,"Craig Arnold (1967–2009), American poet and professor"
/wiki/Matthew_Arnold,Matthew Arnold,1822,1888,"Matthew Arnold (1822–1888), English poet and cultural critic"
/wiki/Arn%C3%B3rr_jarlask%C3%A1ld,Arnórr Þórðarson jarlaskáld,1012,1070,"Arnórr Þórðarson jarlaskáld (Poet of Earls, c. 1012 – 1070s), Icelandic skald"
/wiki/Jean_Arp,Jean Arp,1886,1966,"Jean Arp (1886–1966), German-French sculptor, painter, and poet"
/wiki/Franciszka_Arnsztajnowa,Franciszka Arnsztajnowa,1865,1942,"Franciszka Arnsztajnowa (1865–1942), Polish poet"
/wiki/Antonin_Artaud,Antonin Artaud,1896,1948,"Antonin Artaud (1896–1948), French playwright, poet and essayist"
/wiki/M._K._Asante,M. K. Asante,1982,unknown,"M. K. Asante (born 1982), American author, poet and professor"
/wiki/John_Ashbery,John Ashbery,1927,unknown,"John Ashbery (born 1927), American poet, 1976 Pulitzer Prize for Poetry"
/wiki/Cliff_Ashby,Cliff Ashby,1919,2012,"Cliff Ashby (1919–2012), English poet and novelist"
/wiki/Ren%C3%A9e_Ashley,Renée Ashley,unknown,unknown,"Renée Ashley, American poet and novelist."
/wiki/Anton_A%C5%A1kerc,Anton Aškerc,1856,1912,"Anton Aškerc (1856–1912), Slovenian poet and Roman Catholic priest"
/wiki/Adam_Asnyk,Adam Asnyk,1838,1897,"Adam Asnyk (1838–1897), Polish poet and dramatist"
/wiki/Herbert_Asquith_(poet),Herbert Asquith,1881,1947,"Herbert Asquith (1881–1947), English poet"
/wiki/Mina_Assadi,Mina Assadi,1942,unknown,"Mina Assadi (born 1942), Iranian poet, author and songwriter"
/wiki/Margaret_Atwood,Margaret Atwood,1939,unknown,"Margaret Atwood (born 1939), Canadian poet, novelist and essayist"
/wiki/W._H._Auden,W. H. Auden,1907,1973,"W. H. Auden (1907–1973), Anglo-American poet, essayist"
/wiki/Imre_Augustich,Imre Augustich,1837,1879,"Imre Augustich (Imre Augustič, 1837–1879), Slovenian/Hungarian poet"
/wiki/Joseph_Auslander,Joseph Auslander,1897,1965,"Joseph Auslander (1897–1965), American poet, anthologist and novelist; US Poet Laureate, 1937–1941"
/wiki/Ausonius,Ausonius,310,395,"Ausonius (c. 310–395), Latin poet and rhetorician at Burdigala (Bordeaux)"
/wiki/Paul_Auster,Paul Auster,1947,unknown,"Paul Auster (born 1947), American poet, playwright, and essayist"
/wiki/James_Avery_(actor),James Avery,1948,unknown,"James Avery (born 1948), American actor, poet, and screenwriter"
/wiki/Margaret_Avison,Margaret Avison,1918,2007,"Margaret Avison (1918–2007), Canadian poet"
/wiki/Krayem_Awad,Krayem Awad,1948,unknown,"Krayem Awad (born 1948), Vienna painter, sculptor, and poet of Syrian origin"
/wiki/Gennady_Aygi,Gennady Aygi,1934,2006,"Gennady Aygi (1934–2006), Russian poet"
/wiki/Ayo_Ayoola-Amale,Ayo Ayoola-Amale,1970,unknown,"Ayo Ayoola-Amale (born 1970), Nigerian poet"
/wiki/Pam_Ayres,Pam Ayres,1947,unknown,"Pam Ayres (born 1947), English humorous poet"
/wiki/Robert_Aytoun,Robert Aytoun,1570,1638,"Robert Aytoun (1570–1638), Scottish poet"
/wiki/Maryam_Jafari_Azarmani,Maryam Jafari Azarmani,1977,unknown,"Maryam Jafari Azarmani (born 1977), Iranian poet, essayist, critic, translator"
/wiki/Jody_Azzouni,Jody Azzouni,1954,unknown,"Jody Azzouni (born 1954), American philosopher and poet"
/wiki/Mih%C3%A1ly_Babits,Mihály Babits,1883,1941,"Mihály Babits (1883–1941), Hungarian poet and translator"
/wiki/Ken_Babstock,Ken Babstock,1970,unknown,"Ken Babstock (born 1970), Canadian poet"
/wiki/Jimmy_Santiago_Baca,Jimmy Santiago Baca,1952,unknown,"Jimmy Santiago Baca (born 1952), American poet and writer of Apache/Chicano descent"
/wiki/Bacchylides,Bacchylides,500 BC,unknown,"Bacchylides (fl. 5th c. BC), Ancient Greek lyric poet"
/wiki/Bellamy_Bach,Bellamy Bach,1980,,"Bellamy Bach (fl. 1980s), pseudonym of group of fiction and poetry writers"
/wiki/Harivansh_Rai_Bachchan,Harivansh Rai Bachchan,1901,unknown,"Harivansh Rai Bachchan (20th c.), Hindi poet"
/wiki/Joseph_M._Bachelor,Joseph M. Bachelor,1889,1947,"Joseph M. Bachelor (aka Joseph Morris, 1889–1947), American author, poet and educator"
/wiki/Simon_Bacher,Simon Bacher,1823,1991,"Simon Bacher (1823–1991), Hebrew poet in Hungary"
/wiki/Ingeborg_Bachmann,Ingeborg Bachmann,1926,1973,"Ingeborg Bachmann (1926–1973), Austrian poet and author"
/wiki/Sutardji_Calzoum_Bachri,Sutardji Calzoum Bachri,1941,unknown,"Sutardji Calzoum Bachri (born 1941), Indonesian poet"
/wiki/George_Bacovia,George Bacovia,1881,1957,"George Bacovia (1881–1957), Romanian poet"
/wiki/Krzysztof_Kamil_Baczy%C5%84ski,Krzysztof Kamil Baczyński,1921,1944,"Krzysztof Kamil Baczyński (1921–1944), Polish poet and soldier"
/wiki/Julio_Baghy,Julio Baghy,1891,1967,"Julio Baghy (1891–1967), Hungarian actor and Esperanto author and poet"
/wiki/Bai_Juyi,Bai Juyi,772,846,"Bai Juyi (772–846), Chinese poet of Tang dynasty"
/wiki/Joanna_Baillie,Joanna Baillie,1762,1851,"Joanna Baillie (1762–1851), Scottish poet and dramatist"
/wiki/J%C3%B3zsef_Bajza,József Bajza,1804,1858,"József Bajza (1804–1858), Hungarian poet and critic"
/wiki/J%C3%B3zef_Baka,Józef Baka,1707,1788,"Józef Baka (1706 or 1707–1788), Polish-Lithuanian poet and Jesuit priest"
/wiki/Vyt_Bakaitis,Vyt Bakaitis,1940,unknown,"Vyt Bakaitis (born 1940), Lithuanian-American translator, editor and poet"
/wiki/David_Baker_(poet),David Baker,1954,unknown,"David Baker (born 1954), American poet"
/wiki/B%C3%A2k%C3%AE,Bâkî,1526,1600,"Bâkî (1526–1600), Ottoman poet (pseudonym of Mahmud Abdülbâkî)"
/wiki/John_Balaban,John Balaban,1943,unknown,"John Balaban (born 1943), American poet and translator"
/wiki/B%C3%A1lint_Balassi,Bálint Balassi,1554,1594,"Bálint Balassi (1554–1594), Hungarian poet"
/wiki/B%C3%A9la_Bal%C3%A1zs,Béla Balázs,1884,1949,"Béla Balázs (1884–1949), Hungarian poet and critic"
/wiki/Edward_Balcerzan,Edward Balcerzan,1937,unknown,"Edward Balcerzan (born 1937), Polish poet, critic and translator"
/wiki/Stanis%C5%82aw_Bali%C5%84ski,Stanisław Baliński,1898,1984,"Stanisław Baliński (1898–1984), Polish poet and diplomat"
/wiki/Jesse_Ball,Jesse Ball,1978,unknown,"Jesse Ball (born 1978), American poet and novelist"
/wiki/Zs%C3%B3fia_Balla,Zsófia Balla,1949,unknown,"Zsófia Balla (born 1949), Hungarian poet from Romania"
/wiki/Addie_L._Ballou,Addie L. Ballou,1837,1916,"Addie L. Ballou (1837–1916), American poet and suffragist"
/wiki/Konstantin_Balmont,Konstantin Balmont,1867,1942,"Konstantin Balmont (1867–1942), Russian symbolist poet and translator"
/wiki/Russell_Banks,Russell Banks,1940,unknown,"Russell Banks (born 1940), American fiction writer and poet"
/wiki/Anne_Bannerman,Anne Bannerman,1765,1829,"Anne Bannerman (1765–1829), Scottish poet"
/wiki/Amiri_Baraka,Amiri Baraka,1934,2014,"Amiri Baraka (aka Leroi Jones) (1934–2014), American writer, poet and dramatist"
/wiki/Marcin_Baran,Marcin Baran,1963,unknown,"Marcin Baran (born 1963), Polish poet and journalist"
/wiki/Stanis%C5%82aw_Bara%C5%84czak,Stanisław Barańczak,1946,2014,"Stanisław Barańczak (1946–2014), Polish poet, critic and translator"
/wiki/Anna_Laetitia_Barbauld,Anna Laetitia Barbauld,1743,1825,"Anna Laetitia Barbauld (1743–1825), English poet, essayist and children's author"
/wiki/Porfirio_Barba-Jacob,Porfirio Barba-Jacob,1883,1942,"Porfirio Barba-Jacob (1883–1942), Colombian poet and writer"
/wiki/John_Barbour_(poet),John Barbour,1320,1395,"John Barbour (c. 1320–1395), Scottish poet, the first major named literary figure to write in Scots"
/wiki/Alexander_Barclay,Alexander Barclay,1476,1552,"Alexander Barclay (c. 1476–1552), English/Scottish poet"
/wiki/George_Barker_(poet),George Barker,1913,1991,"George Barker (1913–1991), English poet and author"
/wiki/Les_Barker,Les Barker,1947,unknown,"Les Barker (born 1947), English poet"
/wiki/Coleman_Barks,Coleman Barks,1937,unknown,"Coleman Barks (born 1937), American poet"
/wiki/Mih%C3%A1ly_Barla,Mihály Barla,1778,1824,"Mihály Barla (Miháo Barla, c. 1778–1824), Slovenian poet and pastor in Hungary"
/wiki/Mary_Barnard,Mary Barnard,1909,2001,"Mary Barnard (1909–2001), American poet, biographer and translator"
/wiki/Djuna_Barnes,Djuna Barnes,1892,1982,"Djuna Barnes (1892–1982), American writer"
/wiki/William_Barnes,William Barnes,1801,1886,"William Barnes (1801–1886), English writer, poet and philologist"
/wiki/Catherine_Barnett,Catherine Barnett,1960,unknown,"Catherine Barnett (born 1960), American poet and educator"
/wiki/Richard_Barnfield,Richard Barnfield,1574,1620,"Richard Barnfield (1574–1620), English poet"
/wiki/Willis_Barnstone,Willis Barnstone,1927,unknown,"Willis Barnstone (born 1927), American poet and literary translator"
/wiki/Laird_Barron,Laird Barron,1970,unknown,"Laird Barron (born 1970), American poet, author"
/wiki/S%C3%A1ndor_Barta,Sándor Barta,1897,1938,"Sándor Barta (1897–1938), Hungarian poet executed in the Soviet Union"
/wiki/Bernard_Barton,Bernard Barton,1784,1849,"Bernard Barton (1784–1849), English poet and Quaker"
/wiki/Bertha_Hirsch_Baruch,Bertha Hirsch Baruch,1701,unknown,"Bertha Hirsch Baruch (late 18th to early 19th c.), American writer, poet and suffragist"
